Aktie,Datum,1-5T_Steigt,1-5T_Bleibt,1-5T_Fällt,Einschätzung_1-5T,2-3W_Steigt,2-3W_Bleibt,2-3W_Fällt,Einschätzung_2-3W,RSI,5T_Change(%),15T_Change(%),Diff_1-5,Diff_2-3W
Bayer,2025-11-26,67.1,15.0,17.9,Kurzfristige Tendenz,67.1,20.0,12.9,Mittelfristige Tendenz,74.2,15.43,17.5,49.2,54.2
Daimler Truck,2025-11-26,64.9,15.0,20.1,Kurzfristige Tendenz,64.9,20.0,15.1,Mittelfristige Tendenz,69.7,6.56,5.65,44.7,49.7
Allianz,2025-11-26,63.2,15.0,21.8,Kurzfristige Tendenz,63.2,20.0,16.8,Mittelfristige Tendenz,66.4,1.52,4.22,41.4,46.4
Qiagen,2025-11-26,62.6,15.0,22.4,Kurzfristige Tendenz,62.6,20.0,17.4,Mittelfristige Tendenz,65.2,5.64,11.54,40.2,45.2
Heidelberg Materials,2025-11-26,62.0,15.0,23.0,Kurzfristige Tendenz,62.0,20.0,18.0,Mittelfristige Tendenz,64.1,3.48,11.97,39.1,44.1
Commerzbank,2025-11-26,60.6,15.0,24.4,Kurzfristige Tendenz,60.6,20.0,19.4,Mittelfristige Tendenz,61.1,5.01,5.11,36.1,41.1
Hannover Rück,2025-11-26,59.8,15.0,25.2,Kurzfristige Tendenz,59.8,20.0,20.2,Mittelfristige Tendenz,59.7,1.41,3.36,34.7,39.7
BMW,2025-11-26,59.6,15.0,25.4,Kurzfristige Tendenz,59.6,20.0,20.4,Mittelfristige Tendenz,59.3,3.2,3.35,34.3,39.3
BASF,2025-11-26,59.4,15.0,25.6,Kurzfristige Tendenz,59.4,20.0,20.6,Mittelfristige Tendenz,58.7,3.69,3.38,33.7,38.7
Volkswagen,2025-11-26,59.3,15.0,25.7,Kurzfristige Tendenz,59.3,20.0,20.7,Mittelfristige Tendenz,58.7,2.84,3.88,33.7,38.7
Brenntag,2025-11-26,59.4,15.0,25.6,Kurzfristige Tendenz,59.4,20.0,20.6,Mittelfristige Tendenz,58.7,3.4,6.93,33.7,38.7
Mercedes-Benz,2025-11-26,58.9,15.0,26.1,Kurzfristige Tendenz,58.9,20.0,21.1,Mittelfristige Tendenz,57.8,2.47,-0.31,32.8,37.8
Merck,2025-11-26,58.6,15.0,26.4,Kurzfristige Tendenz,58.6,20.0,21.4,Mittelfristige Tendenz,57.2,4.48,4.76,32.2,37.2
Deutsche Börse,2025-11-26,57.9,15.0,27.1,Kurzfristige Tendenz,57.9,20.0,22.1,Mittelfristige Tendenz,55.9,5.61,4.41,30.9,35.9
Porsche,2025-11-26,57.8,15.0,27.2,Kurzfristige Tendenz,57.8,20.0,22.2,Mittelfristige Tendenz,55.5,2.68,4.21,30.5,35.5
Siemens Energy,2025-11-26,57.4,15.0,27.6,Kurzfristige Tendenz,57.4,20.0,22.6,Mittelfristige Tendenz,54.8,-2.32,2.1,29.8,34.8
Beiersdorf,2025-11-26,55.9,15.0,29.1,Kurzfristige Tendenz,55.9,20.0,24.1,Mittelfristige Tendenz,51.7,4.95,-1.27,26.7,31.7
Deutsche Telekom,2025-11-26,55.1,15.0,29.9,Kurzfristige Tendenz,55.1,20.0,24.9,Mittelfristige Tendenz,50.2,1.81,4.63,25.2,30.2
Münchener Rück,2025-11-26,54.5,15.0,30.5,Kurzfristige Tendenz,54.5,20.0,25.5,Mittelfristige Tendenz,49.0,1.88,0.41,24.0,29.0
Deutsche Bank,2025-11-26,54.4,15.0,30.6,Kurzfristige Tendenz,44.4,20.0,35.6,Mittelfristige Tendenz,48.9,1.61,-3.22,23.9,8.9
Continental,2025-11-26,54.4,15.0,30.6,Kurzfristige Tendenz,44.4,20.0,35.6,Mittelfristige Tendenz,48.8,3.88,-4.21,23.8,8.8
Infineon,2025-11-26,53.5,15.0,31.5,Kurzfristige Tendenz,43.5,20.0,36.5,Mittelfristige Tendenz,46.9,1.72,-1.31,21.9,6.9
SAP,2025-11-26,32.1,15.0,52.9,Kurzfristige Tendenz,32.1,20.0,47.9,Mittelfristige Tendenz,24.1,-1.14,-6.29,20.9,15.9
Airbus,2025-11-26,51.6,15.0,33.4,Kurzfristige Tendenz,41.6,20.0,38.4,Mittelfristige Tendenz,43.2,0.05,-1.94,18.2,3.2
Zalando,2025-11-26,51.5,15.0,33.5,Kurzfristige Tendenz,41.5,20.0,38.5,Mittelfristige Tendenz,43.0,1.42,-5.01,18.0,3.0
